name,rank_jump,first_year,second_year,rank_1,rank_2
jaivien,-2993,2010,2011,10112,13105
niam,2992,2007,2008,10555,7563
ayush,2992,1996,1997,9129,6137
jahaziel,2991,1989,1990,6506,3515
kazuki,-2991,2023,2024,10249,13240
jeremey,2991,2019,2020,13008,10017
jamarri,2990,2023,2024,9268,6278
jayant,2990,2010,2011,11359,8369
cogan,2990,2002,2003,10971,7981
javoris,2990,2010,2011,11357,8367
ozais,2990,2021,2022,13567,10577
lamontez,2990,2007,2008,13561,10571
crisanto,2990,2009,2010,11271,8281
nahun,2990,2023,2024,13540,10550
jahron,-2989,2008,2009,8572,11561
matheus,2989,1993,1994,8314,5325
coron,2989,2004,2005,10204,7215
mosha,2988,2023,2024,13520,10532
nahum,2988,1975,1976,6028,3040
sasan,2988,1983,1984,7143,4155
markeem,-2987,2013,2014,10338,13325
muslim,2987,2023,2024,13530,10543
jefry,-2987,2021,2022,10196,13183
markcus,-2987,2013,2014,10337,13324
akram,2986,1983,1984,6259,3273
mukhammad,2986,2023,2024,13525,10539
muscab,2986,2020,2021,13433,10447
geovonni,2985,2016,2017,9125,6140
liev,2985,2009,2010,6666,3681
martyn,2985,2015,2016,13336,10351
jeyson,2985,1997,1998,6904,3919
philippos,2984,2020,2021,11644,8660
tayshun,2984,2004,2005,8830,5846
imad,2983,2011,2012,8320,5337
jencarlo,-2983,2016,2017,10155,13138
jemarcus,-2983,2016,2017,10153,13136
kyber,2983,2020,2021,9184,6201
jaksen,2982,2005,2006,10642,7660
josemaria,2982,1995,1996,5696,2714
brexten,2982,2018,2019,9820,6838
jamarius,2982,1988,1989,5417,2435
uzair,2982,1996,1997,7925,4943
jarrel,2981,2005,2006,7929,4948
manaf,-2980,2014,2015,10329,13309
jekai,-2980,2023,2024,8534,11514
derelle,2980,1988,1989,7567,4587
muhanad,2980,2020,2021,13424,10444
chirstopher,2980,2002,2003,10955,7975
daquain,2980,1993,1994,7829,4849
arlan,2979,2001,2002,8398,5419
govanni,2979,2001,2002,9689,6710
kiaan,2979,2010,2011,5910,2931
jakyron,-2978,2011,2012,10067,13045
dequavious,-2978,2007,2008,10028,13006
sarkis,2978,2023,2024,10607,7629
donaciano,2978,1986,1987,7015,4037
junjie,2978,2016,2017,13184,10206
abdalrahman,2977,2011,2012,9604,6627
nafis,-2976,2019,2020,10470,13446
humphrey,2975,2019,2020,11284,8309
antwaan,2975,2001,2002,10664,7689
hughston,2975,2019,2020,11282,8307
hariharan,-2975,2015,2016,9926,12901
archibald,2975,2001,2002,10668,7693
jaetyn,2974,2012,2013,11351,8377
meek,2974,2020,2021,13382,10408
sayed,2974,2014,2015,8672,5698
jahvani,-2973,2021,2022,10151,13124
drevon,2973,2022,2023,8483,5510
kaydrian,-2973,2021,2022,7365,10338
haruto,-2972,2023,2024,6309,9281
morgun,2972,1996,1997,10036,7064
todrick,2972,1990,1991,8039,5067
drevin,2972,2008,2009,11456,8484
derico,2972,2005,2006,11888,8916
koamalu,-2972,2012,2013,8564,11536
koron,2971,2007,2008,13515,10544
quason,-2970,2000,2001,8901,11871
elchonon,2970,2014,2015,8328,5358
krayton,2970,2015,2016,11500,8530
janzel,2970,2011,2012,13137,10167
joji,2970,2022,2023,11524,8554
flint,2970,2003,2004,7441,4471
almedin,-2969,2005,2006,9161,12130
jamahl,2969,2019,2020,12948,9979
per,-2969,2001,2002,7360,10329
demarcos,2968,1988,1989,7551,4583
pragyan,2968,2021,2022,11781,8813
aldrin,2968,1997,1998,9302,6334
ossama,-2967,2000,2001,8876,11843
josip,-2967,1999,2000,8282,11249
kaceson,2966,2014,2015,13032,10066
jusitn,2966,1981,1982,6778,3812
manoj,-2966,2002,2003,7427,10393
darryle,2966,1992,1993,6826,3860
leonzo,2966,2018,2019,13352,10386
everhett,2965,2008,2009,13154,10189
peng,-2965,2000,2001,8887,11852
jeaven,-2965,2020,2021,10008,12973
jayanth,2965,2012,2013,13089,10124
kimon,2964,2007,2008,13496,10532
thoms,-2964,1987,1988,4212,7176
ishmel,2964,2005,2006,10607,7643
gasper,2964,1992,1993,8882,5918
divante,2964,1991,1992,4851,1887
leeson,2964,2018,2019,13343,10379
kiai,2964,2007,2008,13491,10527
damarquis,-2962,2006,2007,9789,12751
levell,-2962,2014,2015,10293,13255
onofre,-2961,2000,2001,8874,11835
deagon,2961,2005,2006,11860,8899
murdoc,-2961,2019,2020,10466,13427
amay,2961,2012,2013,8899,5938
makyi,-2960,2012,2013,10376,13336
jancarlo,-2960,2023,2024,8515,11475
lelyn,-2960,2014,2015,10286,13246
ermin,2960,2008,2009,13140,10180
derius,2960,2007,2008,9111,6151
joas,2960,2013,2014,11400,8440
mahith,2959,2015,2016,13293,10334
navarro,-2959,2023,2024,7597,10556
jeyko,2959,2022,2023,11505,8546
brodan,2958,2009,2010,11201,8243
alexsandro,2958,1999,2000,7165,4207
kel,2958,2018,2019,11504,8546
tomislav,2958,1977,1978,6788,3830
broady,2958,2009,2010,11200,8242
ishant,-2957,2011,2012,10029,12986
itzhak,-2956,2016,2017,10079,13035
sidhant,2956,2004,2005,11151,8195
anuel,-2955,2023,2024,3884,6839
jhet,-2955,2008,2009,10411,13366
lassana,2955,2018,2019,13329,10374
kaylib,-2955,2012,2013,8518,11473
dahlton,2954,2003,2004,11230,8276
azende,2953,1997,1998,6668,3715
tatsuo,2953,1915,1916,3786,833
jakoda,-2953,2023,2024,8511,11464
tajon,2952,1996,1997,7874,4922
khol,2952,2015,2016,11464,8512
jemell,2952,2007,2008,11567,8615
brentt,2952,2000,2001,10568,7616
inmer,2951,2022,2023,13079,10128
brelon,2951,2009,2010,11189,8238
irlan,2951,2017,2018,13023,10072
ole,2950,2022,2023,8142,5192
jhamari,2950,2016,2017,13131,10181
dareck,2950,2022,2023,8450,5500
nazeem,2950,2021,2022,13481,10531
kyzer,2950,2002,2003,8123,5173
breydan,2950,2004,2005,7603,4653
erric,-2950,2003,2004,8955,11905
nazhir,2950,2021,2022,13482,10532
muhammadyasin,-2949,2023,2024,7588,10537
iosefa,2949,2017,2018,13019,10070
amr,2949,1989,1990,7961,5012
christianjames,2948,2009,2010,12825,9877
othon,-2948,2000,2001,7248,10196
asael,2947,1989,1990,6266,3319
tavien,2947,2015,2016,10495,7548
ceferino,2944,1980,1981,6390,3446
matthewjoseph,2944,1996,1997,9994,7050
jarquis,2944,1996,1997,8378,5434
lamarius,-2944,2013,2014,10281,13225
abhishek,2944,2012,2013,8870,5926
lawaia,-2943,2022,2023,10413,13356
liem,2943,1994,1995,9692,6749
sriram,2943,2020,2021,10450,7507
herberth,2942,2014,2015,11225,8283
cashtyn,2942,2015,2016,9734,6792
demontay,2942,2008,2009,11406,8464
haytham,2942,2016,2017,7314,4372
zaid,2942,1982,1983,5617,2675
abdulraheem,2942,2023,2024,9757,6815
hylan,-2941,2016,2017,10061,13002
manase,2941,2023,2024,13439,10498
jeston,2939,2017,2018,11401,8462
markjoseph,2939,1996,1997,9976,7037
harith,2938,2010,2011,12939,10001
jerardo,2938,2016,2017,13109,10171
axcel,2938,2009,2010,6840,3902
anthonie,2937,2015,2016,8076,5139
lamond,2937,2016,2017,10295,7358
hannes,2937,2010,2011,12937,10000
nayquan,-2936,2000,2001,8845,11781
marcquise,2936,1996,1997,9968,7032
kweku,2936,2018,2019,13294,10358
krizal,2936,2018,2019,13287,10351
jermale,2936,1981,1982,6737,3801
marcelous,2935,1996,1997,9966,7031
kaeo,2935,1999,2000,10753,7818
jalik,2934,2007,2008,11517,8583
michaeal,-2934,1988,1989,4659,7593
huddson,2934,2022,2023,13055,10121
ethanael,-2934,2015,2016,9872,12806
kalib,2934,1988,1989,6845,3911
sayd,2934,2004,2005,12898,9964
mateen,2934,2019,2020,9435,6501
hud,2934,2022,2023,13054,10120
edder,2933,2014,2015,9008,6075
jyquan,2933,1999,2000,10748,7815
keifer,2933,2015,2016,11431,8498
kazuo,2933,2007,2008,13425,10492
gyasi,2933,2010,2011,12927,9994
jenil,2932,2017,2018,11387,8455
jawaan,2932,1992,1993,6361,3429
amauris,2932,1995,1996,8929,5997
jamaurie,2932,2008,2009,10354,7422
kefren,2932,2015,2016,11429,8497
hipolito,-2932,2021,2022,10113,13045
jameir,2932,2000,2001,9593,6661
veasna,2931,1990,1991,9424,6493
ivyon,2931,2011,2012,13059,10128
issai,2931,2011,2012,13056,10125
hiroto,-2931,2021,2022,10115,13046
viansh,-2931,2019,2020,7599,10530
daleon,-2930,2007,2008,9984,12914
legion,2930,2007,2008,10441,7511
hassen,-2930,2021,2022,10099,13029
koleton,2930,2018,2019,13276,10346
keymarion,2930,2011,2012,10252,7322
jakeim,2930,2007,2008,11507,8577
nichlaus,2930,1993,1994,9723,6793
garrick,2930,2023,2024,9186,6256
brison,2930,1980,1981,6372,3442
rodger,-2929,2023,2024,5866,8795
hickory,2929,2022,2023,13043,10114
jadel,-2929,2020,2021,9965,12894
naythan,2929,1996,1997,6929,4000
yazid,2928,2019,2020,7621,4693
gennaro,2928,2011,2012,7683,4755
jahmair,2928,2007,2008,11498,8570
nahim,2928,2022,2023,8770,5842
jerrold,-2928,2018,2019,8459,11387
damacio,2927,2005,2006,11811,8884
isaul,2927,2011,2012,13051,10124
nawaf,2927,2010,2011,9406,6479
pasquale,2927,2011,2012,7925,4998
homar,2926,2002,2003,9836,6910
fjord,-2926,2020,2021,8274,11200
kydon,-2926,2022,2023,10395,13321
munasar,2926,2020,2021,11542,8616
dinero,2926,2013,2014,9000,6074
kaleth,2925,2007,2008,13388,10463
daizon,2925,1999,2000,8917,5992
hansell,2925,2022,2023,13024,10099
azias,2924,2020,2021,9671,6747
minkah,2924,2021,2022,13427,10503
jermery,2924,1988,1989,6076,3152
koua,2923,1993,1994,8212,5289
kashius,2923,2007,2008,13408,10485
melkin,2922,2021,2022,13412,10490
kasem,2922,2007,2008,13406,10484
marquest,-2922,2001,2002,8904,11826
imanuel,-2922,2023,2024,8495,11417
jahsiel,2921,2022,2023,11429,8508
garrus,2921,2012,2013,11255,8334
kaptain,2920,2013,2014,13105,10185
keeshon,-2920,1997,1998,5121,8041
grahm,2920,1992,1993,6340,3420
givonni,-2920,2021,2022,10079,12999
karlito,2920,2015,2016,11407,8487
tanav,2919,2012,2013,8066,5147
jaivian,2919,2010,2011,10111,7192
jemar,2918,2014,2015,12939,10021
cotter,-2917,2007,2008,9968,12885
obaloluwa,2917,2023,2024,10496,7579
sou,-2917,1994,1995,5817,8734
ivri,-2916,2020,2021,9957,12873
govani,2916,2010,2011,11215,8299
lawyer,2916,2020,2021,13260,10344
xzavian,2915,2023,2024,9706,6791
ikeer,2914,2012,2013,12969,10055
nirvik,2914,2023,2024,8720,5806
dquan,2914,2008,2009,13058,10144
cordarell,2914,1986,1987,6927,4013
rayfield,2914,1977,1978,5682,2768
isahia,2913,2000,2001,9552,6639
devren,-2913,2003,2004,8900,11813
aldon,2912,2002,2003,8479,5567
kyven,2912,2015,2016,13201,10289
cipriano,2911,2023,2024,8375,5464
leeandre,2911,1996,1997,9916,7005
jamarr,2910,2020,2021,8339,5429
jhovani,2910,1998,1999,10388,7478
dontavian,2910,2008,2009,13050,10140
samyar,2909,2015,2016,10424,7515
fadil,2909,2010,2011,12874,9965
kingstan,-2909,2022,2023,10380,13289
daesean,2909,1998,1999,7725,4816
christofher,-2909,2007,2008,9951,12860
jeremaih,2909,2007,2008,8520,5611
arjenis,-2909,1990,1991,4424,7333
watts,2908,2022,2023,9770,6862
laurencio,2908,1996,1997,9909,7001
ashok,2908,2004,2005,10059,7151
inocencio,-2908,2008,2009,10293,13201
donnavin,2908,2008,2009,13047,10139
juleon,2908,2007,2008,13351,10443
kiing,2907,2014,2015,10237,7330
heinz,2907,2011,2012,13003,10096
hastin,2907,2011,2012,12997,10090
jarian,2907,2017,2018,11348,8441
therman,2906,1990,1991,9363,6457
jovonte,2905,2007,2008,13343,10438
mohd,-2905,1997,1998,7852,10757
cristyan,2905,2005,2006,11782,8877
juliyan,-2905,2017,2018,10202,13107
dmontae,2904,2008,2009,13040,10136
jeramyah,2904,2004,2005,7827,4923
eizen,2904,2023,2024,9143,6239
haizen,2904,2017,2018,12941,10037
haydar,2904,2019,2020,12833,9929
leangelo,2904,2023,2024,13361,10457
jyler,2903,2013,2014,13067,10164
raynier,2903,2004,2005,12801,9898
nial,2902,2023,2024,10473,7571
juden,-2902,2017,2018,10200,13102
nithin,-2902,2018,2019,6593,9495
jos,2901,2016,2017,11381,8480
harshit,2901,2012,2013,12938,10037
angelos,2900,2009,2010,11082,8182
jayshawn,2900,1989,1990,8467,5567
djay,2900,2008,2009,13035,10135
elijay,-2900,2021,2022,8358,11258
belal,2899,2014,2015,8217,5318
adian,2899,1999,2000,6049,3150
jorell,-2899,2018,2019,10158,13057
pransh,2899,2021,2022,10519,7620
kenzell,2899,1993,1994,8182,5283
honorio,-2898,2008,2009,10281,13179
christoffer,2898,2013,2014,8944,6046
jasyn,2897,2014,2015,12899,10002
mattheu,2896,2006,2007,11564,8668
menashe,2895,2021,2022,7423,4528
steel,2895,2008,2009,6707,3812
aymaan,2894,2009,2010,12682,9788
esneider,-2894,2015,2016,8250,11144
reyansh,2894,2008,2009,8160,5266
emannuel,2893,2010,2011,11163,8270
bardia,2893,2009,2010,12696,9803
enan,2893,2010,2011,12839,9946
yasim,2893,2002,2003,12447,9554
isayah,2893,2021,2022,7807,4914
ekamveer,2892,2012,2013,11196,8304
theotis,2892,1997,1998,9153,6261
graiden,2891,2012,2013,12910,10019
keiyon,2891,2007,2008,10366,7475
naasir,2890,2008,2009,9586,6696
asim,2890,1985,1986,5187,2297
anav,2890,2017,2018,7120,4230
avanish,2889,2009,2010,12666,9777
mackinnon,2889,2021,2022,13336,10447
gonsalo,-2889,2008,2009,10242,13131
himmat,2889,2021,2022,7798,4909
jordell,2889,2007,2008,13320,10431
haim,2888,2012,2013,12920,10032
philippe,-2888,2023,2024,4700,7588
quenton,-2888,2023,2024,4702,7590
dreshon,-2888,2015,2016,9835,12723
cadel,2887,2006,2007,8844,5957
quevon,2887,2004,2005,12767,9880
jofiel,2886,2013,2014,13027,10141
jomel,-2886,2004,2005,9412,12298
majid,2886,2010,2011,9345,6459
fenn,2886,2022,2023,12953,10067
tarick,-2886,2005,2006,6584,9470
marlik,2885,1995,1996,9780,6895
elijio,2885,2010,2011,12822,9937
gustin,2885,2011,2012,12967,10082
heyden,2885,2008,2009,10276,7391
deanta,-2884,2003,2004,8878,11762
guillaume,2884,2011,2012,12963,10079
gillermo,-2884,2008,2009,10239,13123
kingisaiah,2884,2015,2016,13150,10266
johndavid,2884,1972,1973,5332,2448
muaaz,2883,2023,2024,10437,7554
kingcharles,2883,2015,2016,13148,10265
koh,-2883,2012,2013,10317,13200
joniel,2881,2009,2010,5688,2807
jawad,2881,1989,1990,5886,3005
kashief,2881,1994,1995,9573,6692
hattan,2881,2022,2023,11364,8483
antrone,2881,1980,1981,6307,3426
bryler,2880,2006,2007,8836,5956
rakim,2880,2008,2009,7590,4710
hamid,-2879,2023,2024,4509,7388
farouk,2879,2022,2023,12945,10066
lindberg,2878,1926,1927,4001,1123
kaiaire,2878,2023,2024,11499,8621
klyde,2877,2012,2013,9343,6466
johnn,2877,2007,2008,13304,10427
tymel,2876,1996,1997,8944,6068
joesiah,2876,2002,2003,8023,5147
braxston,2876,2006,2007,8827,5951
drevyn,2876,2014,2015,11098,8222
eulalio,2875,2022,2023,12925,10050
jakyle,2875,2016,2017,13018,10143
jakyren,2875,2016,2017,13019,10144
tevita,2875,1979,1980,6976,4101
merric,-2875,2019,2020,8642,11517
draken,2874,2014,2015,11094,8220
alcides,2874,2009,2010,11043,8169
deago,2873,2005,2006,7781,4908
nichols,2873,2006,2007,13431,10558
toua,2873,1989,1990,7840,4967
bowden,2873,2009,2010,8380,5507
ketcher,-2873,2009,2010,10485,13358
ericsson,2872,2022,2023,12917,10045
calyb,2872,2008,2009,11273,8401
zylin,2871,2020,2021,7495,4624
elkan,-2871,2021,2022,10019,12890
jerson,2871,1984,1985,6785,3914
hyde,2870,2016,2017,6488,3618
domonik,2870,2014,2015,11085,8215
kemarian,-2870,2009,2010,10472,13342
antonin,2870,2009,2010,12617,9747
brysan,2869,2005,2006,11709,8840
dekarri,-2869,2021,2022,8323,11192
emit,2869,2022,2023,12901,10032
barnabas,2869,2018,2019,8239,5370
petr,2868,2004,2005,12737,9869
jentezen,-2868,2017,2018,10169,13037
malikye,2867,2018,2019,7950,5083
chip,2867,2014,2015,8920,6053
enam,2867,2017,2018,12855,9988
javale,2866,2016,2017,11307,8441
asaph,2866,2006,2007,8793,5927
giovany,2865,2021,2022,9120,6255
rexford,2865,2012,2013,8725,5860
kanyae,-2865,2004,2005,6767,9632
shakiem,2864,1992,1993,7274,4410
malakhi,2864,2000,2001,7917,5053
braison,2864,2003,2004,11091,8227
yasiin,2864,2021,2022,9663,6799
jaseon,2864,2013,2014,10114,7250
treyvaughn,2864,2001,2002,10457,7593
gedalia,2864,2011,2012,12930,10066
jsoeph,-2864,1989,1990,5913,8777
zavian,2864,1997,1998,7275,4411
leiam,2864,2021,2022,13283,10419
jaymason,2863,2015,2016,11298,8435
derren,2863,2004,2005,9182,6319
dez,2863,2011,2012,6686,3823
jeramiha,2863,2007,2008,13258,10395
khalifa,2863,2011,2012,7815,4952
torez,2863,1996,1997,8915,6052
cutter,2863,1986,1987,6089,3226
prodigy,2863,2017,2018,9476,6613
keyondre,2862,2020,2021,13152,10290
jakoby,2862,1997,1998,5825,2963
gaetano,2862,2019,2020,6916,4054
jenrry,2862,2007,2008,13255,10393
anthon,2862,1993,1994,8756,5894
jahsi,2861,2014,2015,12839,9978
jaxs,-2861,2018,2019,10115,12976
wayland,2861,2013,2014,6224,3363
wilberth,2861,2000,2001,12063,9202
damarrion,2861,2019,2020,11071,8210
samwise,2860,2014,2015,9468,6608
goshen,-2860,2020,2021,9909,12769
deniel,2860,2012,2013,11136,8276
edmar,-2859,2021,2022,10004,12863
harvard,-2859,2013,2014,8354,11213
issei,2859,2018,2019,11318,8459
massimo,2857,1985,1986,7207,4350
mert,2857,2005,2006,8088,5231
deiondre,2857,2008,2009,7824,4967
lelan,2855,2023,2024,8638,5783
bon,2855,1989,1990,7044,4189
aaban,2855,2009,2010,10994,8139
travarus,2854,2001,2002,12170,9316
jhael,2854,2023,2024,11457,8603
keiontae,2853,2023,2024,13229,10376
hendrick,2853,1984,1985,5856,3003
giorgio,2853,1981,1982,6629,3776
usamah,2853,2000,2001,12041,9188
leeman,2853,1918,1919,4523,1670
kahel,2853,2018,2019,13123,10270
ladarrious,-2853,2000,2001,7162,10015
draxton,2853,2021,2022,8345,5492
durante,2853,1990,1991,8492,5639
gurshan,-2852,2018,2019,8393,11245
diogenes,2851,2010,2011,12755,9904
jarreth,-2851,2004,2005,9357,12208
jarmal,2851,1985,1986,5408,2557
keeton,-2851,2023,2024,7522,10373
jabari,2851,1972,1973,4168,1317
tyreq,2850,2002,2003,12375,9525
dreydon,2850,2017,2018,12803,9953
karmyne,-2850,2009,2010,10440,13290
ahmet,2849,2003,2004,7858,5009
divonte,2849,1991,1992,6100,3251
ademola,2848,2002,2003,10695,7847
jaytin,2847,2007,2008,10266,7419
draydon,2847,2017,2018,12797,9950
dorrell,2846,2017,2018,12793,9947
leopold,2846,1993,1994,7285,4439
eathan,2846,2022,2023,12860,10014
kaiven,-2845,2023,2024,7507,10352
dezion,2845,2010,2011,12745,9900
kemo,2845,1996,1997,9809,6964
norrin,2844,2020,2021,10285,7441
kelvyn,2844,1996,1997,9807,6963
jaquante,2844,1999,2000,10616,7772
divij,-2843,2021,2022,9985,12828
faizaan,2843,2011,2012,12897,10054
drayvin,2843,2012,2013,12778,9935
jimari,2843,2002,2003,8886,6043
ropyr,2842,2023,2024,9569,6727
delshawn,2841,2010,2011,12719,9878
tykwan,2841,1994,1995,8739,5898
domonick,2841,2022,2023,12838,9997
dushaun,-2840,1993,1994,6385,9225
ricco,2840,2022,2023,9650,6810
gavan,2840,2017,2018,11220,8380
kien,2839,2000,2001,8713,5874
daksh,2839,2005,2006,7224,4385
kaash,-2839,2023,2024,7499,10338
kolesyn,2838,2018,2019,10268,7430
trayvonne,2838,2002,2003,12348,9510
travius,2838,2002,2003,12345,9507
deny,-2838,2011,2012,9888,12726
lenwood,-2837,1997,1998,7787,10624
jhaiden,-2837,2014,2015,10133,12970
gerasimos,2836,1983,1984,6620,3784
daemyn,-2836,2015,2016,8176,11012
ellsworth,-2835,2017,2018,8342,11177
ramondo,2835,1977,1978,6622,3787
eaton,2835,2019,2020,12682,9847
harkaran,-2834,1999,2000,8172,11006
iokepa,2834,2014,2015,12794,9960
linken,2834,2023,2024,10345,7511
kawliga,2834,2020,2021,13097,10263
kente,2833,1997,1998,10068,7235
damean,2833,2012,2013,11094,8261
kaycin,2833,2020,2021,13098,10265
kaedon,-2833,2023,2024,5786,8619
adien,2832,2003,2004,7252,4420
tawfiq,2832,2001,2002,12123,9291
elii,-2831,2017,2018,8339,11170
danarius,2831,2010,2011,11050,8219
gurvinder,-2831,1999,2000,8163,10994
hussien,2830,2014,2015,12781,9951
habib,2830,1988,1989,6717,3887
antaeus,2830,1981,1982,6323,3493
nicholis,2829,1995,1996,5407,2578
didier,2829,1994,1995,7168,4339
deran,2829,1979,1980,6292,3463
marckus,2829,2006,2007,10252,7423
matther,2828,1983,1984,6942,4114
larrion,2828,2006,2007,11466,8638
keair,2828,1997,1998,10048,7220
osmond,2828,2020,2021,8547,5719
creedon,2827,2012,2013,11076,8249
raffi,2826,2023,2024,9537,6711
dayvid,2826,2010,2011,12694,9868
mattson,2826,2006,2007,13327,10501
janoah,2826,2022,2023,8593,5767
aarnav,2825,2003,2004,7831,5006
evrhett,-2825,2018,2019,8368,11193
kamen,2825,2023,2024,13183,10358
denahi,2825,2017,2018,12745,9920
kristofor,2825,1995,1996,9682,6857
jousha,2824,1978,1979,6276,3452
givon,-2824,1999,2000,8160,10984
yamen,2824,2009,2010,10934,8110
daxton,2824,1991,1992,6073,3249
jasek,-2824,2014,2015,10086,12910
cjay,-2824,2021,2022,8300,11124
jamariyon,2823,2007,2008,13175,10352
kincaid,2822,2020,2021,11364,8542
kidd,2822,2021,2022,13195,10373
demid,2822,2017,2018,12741,9919
suliman,2821,2018,2019,9549,6728
jaco,2820,2007,2008,13138,10318
jaykob,-2820,2023,2024,5773,8593
hamdaan,2819,2016,2017,12892,10073
nichalas,2819,2004,2005,12659,9840
robertlee,2819,1984,1985,7098,4279
taiyo,2819,2020,2021,9450,6631
arsen,2819,2020,2021,6320,3501
istvan,2819,1999,2000,10552,7733
marqueze,2819,1999,2000,9472,6653
jshaun,2819,2015,2016,13009,10190
guransh,-2818,2012,2013,8396,11214
deontez,-2818,2008,2009,10132,12950
zagreus,2818,2022,2023,8274,5456
hajun,-2818,2023,2024,10094,12912
jamario,-2818,2023,2024,5138,7956
jachob,2817,2007,2008,13134,10317
newman,2817,2004,2005,12656,9839
cirilo,2817,2014,2015,10981,8164
demitrious,2817,2012,2013,12720,9903
harvir,2817,2014,2015,12749,9932
isacc,2816,2018,2019,6865,4049
jaxstyn,2816,2017,2018,7820,5004
demarlo,-2816,2010,2011,9926,12742
naftali,2815,1984,1985,5384,2569
harut,2815,2014,2015,12746,9931
jubril,2814,1997,1998,10008,7194
jyson,2814,2023,2024,13151,10337
teng,2814,2000,2001,11954,9140
kendrixx,2814,2021,2022,11475,8661
grantlee,2814,2016,2017,12874,10060
julion,2814,2023,2024,13144,10330
dejean,-2814,2010,2011,9921,12735
syir,2814,2020,2021,9441,6627
decorion,-2814,2008,2009,10115,12929
brentan,-2813,2003,2004,8777,11590
draymond,2813,2022,2023,11234,8421
errick,2813,2013,2014,11160,8347
graylan,-2813,2023,2024,10085,12898
tejan,2813,2002,2003,12304,9491
dugan,2812,2003,2004,9930,7118
josyah,2812,2008,2009,6247,3435
maricus,2812,1983,1984,6922,4110
nazaiah,2812,2004,2005,10918,8106
ebon,2811,2011,2012,12820,10009
giveon,-2811,2023,2024,10082,12893
jakeel,2810,1993,1994,8051,5241
tyrico,-2809,1996,1997,7919,10728
jayten,2808,2018,2019,13023,10215
phillippe,2808,1988,1989,7027,4219
duwayne,2807,2011,2012,12812,10005
kwante,-2807,1998,1999,8076,10883
demeco,-2807,1992,1993,6264,9071
chirag,2806,2012,2013,11042,8236
kasra,2806,2018,2019,10213,7407
pepe,2806,1977,1978,6588,3782
alquan,-2805,2007,2008,9822,12627
johnkerry,2805,2022,2023,10293,7488
maicol,2804,2019,2020,7446,4642
ramesh,2804,1992,1993,9486,6682
jahiel,-2803,2022,2023,8587,11390
geon,2803,2016,2017,12853,10050
pranav,2803,1990,1991,6974,4171
steward,2803,1994,1995,8664,5861
drennan,2803,2011,2012,12804,10001
keshav,2802,1993,1994,9508,6706
mann,2802,2006,2007,13285,10483
colson,2801,1995,1996,5566,2765
anjan,2801,2005,2006,11573,8772
jasim,-2800,2022,2023,5719,8519
caydenn,-2800,2011,2012,9788,12588
izick,2799,2001,2002,8659,5860
hudhayfah,-2799,2018,2019,10061,12860
shen,2799,2001,2002,12039,9240
antuan,-2798,2023,2024,4460,7258
aziz,2798,1977,1978,5181,2383
johnattan,2798,1996,1997,9713,6915
benett,2797,2019,2020,10952,8155
chasin,2797,2020,2021,8877,6080
simpson,2797,1988,1989,8331,5534
brinden,-2796,2011,2012,9755,12551
beauman,2796,2019,2020,10950,8154
flamur,2795,1989,1990,8315,5520
cresencio,2795,2017,2018,12675,9880
dierre,2795,2011,2012,12775,9980
sirus,2795,2007,2008,8817,6022
deandrew,2794,2019,2020,12598,9804
colden,2793,1992,1993,8639,5846
wilburt,-2793,1986,1987,5318,8111
deigo,2792,2004,2005,6633,3841
ceon,2792,2008,2009,12841,10049
flynt,2792,2016,2017,11166,8374
kaiyzen,-2792,2022,2023,2180,4972
zaydrian,2791,2009,2010,12468,9677
henning,-2791,2023,2024,7445,10236
shahbaz,2791,1994,1995,8631,5840
ezykiel,-2791,2023,2024,10062,12853
daiyan,2790,2010,2011,12635,9845
tabius,2790,2000,2001,11905,9115
daivik,2790,2010,2011,12634,9844
ezai,-2790,2023,2024,10056,12846
calev,2789,2014,2015,10931,8142
ghabriel,-2789,2004,2005,9256,12045
richad,2788,1979,1980,6856,4068
yimi,2787,2009,2010,12445,9658
dajaun,2787,2012,2013,12660,9873
jayr,-2787,2022,2023,10268,13055
almarion,2787,2003,2004,10958,8171
goerge,2787,1984,1985,6682,3895
jerrald,2787,1997,1998,9951,7164
daquarius,2787,2022,2023,12748,9961
ishan,2786,1993,1994,6447,3661
cavon,2786,2011,2012,11052,8266
sumit,2786,2002,2003,12252,9466
hridhaan,2786,2011,2012,10011,7225
exequiel,-2785,2023,2024,10054,12839
sriman,2784,2002,2003,12241,9457
coltan,-2784,2023,2024,8377,11161
jashua,2784,2022,2023,10255,7471
awais,2784,2019,2020,10929,8145
lucias,2783,2006,2007,13239,10456
vasilis,2783,2003,2004,12672,9889
tallon,2783,2023,2024,8184,5401
cruiz,2782,2012,2013,12644,9862
dequarius,2782,2011,2012,12752,9970
katron,2782,1993,1994,9472,6690
azavion,2782,2019,2020,9867,7085
aaditya,2782,1999,2000,8702,5920
alyus,2781,2019,2020,8243,5462
sanuel,2781,1987,1988,7926,5145
khadeem,2781,1992,1993,7985,5204
axston,2781,2019,2020,9861,7080
mckye,2781,2004,2005,12571,9790
avinash,2781,1984,1985,5622,2841
damiere,2780,2019,2020,12568,9788
xaver,2780,1987,1988,6935,4155
boden,2780,1998,1999,6376,3596
eligh,2779,2001,2002,7754,4975
sheik,2779,2000,2001,11860,9081
claudius,2778,2012,2013,12619,9841
damiyon,2778,2007,2008,11227,8449
