name,f_sum,m_sum,total,per_diff
jaloni,337,238,575,34.43478260869565
tajae,282,198,480,35.0
murtha,5,5,10,0.0
bemnet,100,36,136,94.11764705882352
jovy,31,5,36,144.44444444444443
maribel,24870,185,25055,197.0464977050489
sovanna,34,6,40,140.0
lexis,3314,44,3358,194.7587849910661
thad,5,8219,8224,199.7568093385214
laramie,1813,1192,3005,41.331114808652245
gurpreet,172,312,484,57.85123966942148
zmari,5,26,31,135.48387096774192
luv,111,86,197,25.380710659898476
rilan,20,233,253,168.37944664031622
raleigh,3057,9279,12336,100.87548638132296
bora,214,422,636,65.40880503144653
clay,273,40252,40525,197.305367057372
dickie,260,4459,4719,177.96143250688706
davene,234,5,239,191.63179916317992
arnel,22,808,830,189.3975903614458
kia,7613,196,7809,189.96030221539252
cadin,16,649,665,190.37593984962407
mikeal,19,2386,2405,196.83991683991684
rikki,7088,624,7712,167.63485477178423
dalyn,389,917,1306,80.85758039816233
antwan,113,12517,12630,196.42121931908153
reynolds,131,1674,1805,170.96952908587258
kinnick,5,506,511,196.08610567514677
vy,1289,37,1326,188.83861236802412
arnez,5,580,585,196.58119658119656
rui,85,887,972,165.02057613168722
araoluwa,126,37,163,109.20245398773005
jordan,135599,401196,536795,98.9565849160294
bayden,6,314,320,192.5
odean,377,351,728,7.142857142857142
finley,22908,19380,42288,16.685584562996596
audi,213,148,361,36.011080332409975
coren,109,148,257,30.35019455252918
sequoyah,477,201,678,81.41592920353983
lamoni,81,18,99,127.27272727272727
demitrius,11,1966,1977,197.7744056651492
teren,57,122,179,72.62569832402235
thompson,23,2725,2748,196.65211062590976
jonah,792,85283,86075,196.31948881789137
taylen,1234,2206,3440,56.51162790697675
tae,103,451,554,125.6317689530686
adriann,960,146,1106,147.19710669077756
wyn,37,164,201,126.3681592039801
naki,5,60,65,169.23076923076923
luann,15506,6,15512,199.8452810727179
paddy,248,93,341,90.9090909090909
evern,17,36,53,71.69811320754717
julian,3306,264985,268291,195.07102362733002
aeries,16,10,26,46.15384615384615
jazmine,38395,99,38494,198.97126824959736
rossi,394,294,688,29.069767441860467
brandi,101906,389,102295,198.47890903758736
marley,33045,5359,38404,144.18289761483177
tallyn,84,49,133,52.63157894736842
jury,123,6,129,181.3953488372093
maris,2671,232,2903,168.03306923871858
collier,304,1870,2174,144.066237350506
reda,1843,364,2207,134.0280924331672
oakly,22,40,62,58.06451612903226
brock,75,43540,43615,199.31216324658948
kriston,720,546,1266,27.488151658767773
manhattan,91,5,96,179.16666666666669
jaimeson,16,343,359,182.17270194986074
alain,6,3980,3986,199.39789262418464
nebraska,42,43,85,2.3529411764705883
skylar,87442,18274,105716,130.8562563850316
naoki,15,322,337,182.1958456973294
haben,21,51,72,83.33333333333334
lakeisha,12850,36,12886,198.8825081483781
amarie,2474,494,2968,133.4231805929919
cambell,198,73,271,92.25092250922509
farris,547,2991,3538,138.15715093273036
otis,887,61082,61969,194.2745566331553
chante,3962,33,3995,196.6958698372966
eriel,709,110,819,146.27594627594627
elaan,5,5,10,0.0
dacoda,117,544,661,129.1981845688351
victoria,527915,1276,529191,199.03550891833007
nara,1052,17,1069,193.63891487371373
zyelle,111,11,122,163.9344262295082
annie,360253,1927,362180,197.8717764647413
asanti,255,56,311,127.9742765273312
kendi,644,24,668,185.62874251497007
arianna,104152,73,104225,199.71983689134086
brant,10,9569,9579,199.58241987681387
adraine,218,5,223,191.03139013452915
deejay,5,179,184,189.1304347826087
lachlan,290,6108,6398,181.86933416692716
bloom,261,10,271,185.239852398524
eddis,117,16,133,151.8796992481203
jamia,4498,6,4504,199.4671403197158
emerys,5,8,13,46.15384615384615
wilhelmina,13094,5,13099,199.84731658905258
cyxx,5,48,53,162.26415094339623
cassius,30,9736,9766,198.77124718410812
alexandr,301,493,794,48.36272040302267
colbee,42,6,48,150.0
reef,63,1290,1353,181.37472283813747
patrice,34083,778,34861,191.07311895814806
perrie,377,44,421,158.19477434679334
reynaldo,23,20552,20575,199.5528554070474
arron,173,8076,8249,191.61110437628804
honore,225,27,252,157.14285714285714
grover,92,27113,27205,198.6473074802426
kyndell,586,64,650,160.6153846153846
soni,326,5,331,193.95770392749245
samer,5,1458,1463,198.63294600136706
samy,17,895,912,192.54385964912282
gurkirat,24,78,102,105.88235294117648
abrar,552,567,1119,2.680965147453083
antonella,10571,5,10576,199.8108925869894
lavie,39,88,127,77.16535433070865
lien,519,6,525,195.42857142857142
kairee,186,410,596,75.16778523489933
breaun,16,5,21,104.76190476190477
rea,1873,190,2063,163.16044595249636
loverne,5,10,15,66.66666666666666
caris,1210,5,1215,198.3539094650206
raegan,25214,278,25492,195.6378471677389
edan,180,1533,1713,157.96847635726797
sophie,138577,117,138694,199.66256651333148
bill,716,160474,161190,198.22321483963026
latisha,18406,38,18444,199.1758837562351
dmari,6,726,732,196.72131147540983
julia,476250,1743,477993,198.54140123390928
jovann,6,114,120,180.0
wilton,41,8653,8694,198.11364159190245
mico,18,144,162,155.55555555555557
greer,3085,733,3818,123.20586694604505
mo,7,20,27,96.29629629629629
elin,5052,152,5204,188.31667947732512
elisabeth,48018,27,48045,199.7752107399313
maurie,317,98,415,105.54216867469879
konley,27,13,40,70.0
jen,318,86,404,114.85148514851484
maiko,71,45,116,44.827586206896555
sheila,238774,648,239422,198.9173927208026
patricio,5,4619,4624,199.5674740484429
genie,2737,173,2910,176.21993127147766
atlee,722,1404,2126,64.15804327375353
adin,86,3269,3355,189.74664679582713
catherine,667789,1822,669611,198.91160688817834
samaj,18,378,396,181.8181818181818
jole,53,5,58,165.51724137931035
darrin,132,29615,29747,198.22503109557266
mena,1517,161,1678,161.62097735399286
tyrin,11,1936,1947,197.74011299435028
rahja,6,7,13,15.384615384615385
jariah,1376,310,1686,126.45314353499406
tilden,96,1345,1441,173.35183900069396
casen,22,6633,6655,198.6776859504132
tatem,359,310,669,14.648729446935723
allene,8762,5,8767,199.77187179194706
americus,480,142,622,108.68167202572347
deandre,452,29495,29947,193.9626673790363
kramer,6,508,514,195.33073929961088
chenxi,39,5,44,154.54545454545453
kelis,2871,6,2877,199.1657977059437
vanesa,6539,5,6544,199.69437652811737
evian,273,629,902,78.93569844789357
alley,1078,42,1120,185.0
hagen,243,3185,3428,171.64527421236872
keygan,11,397,408,189.2156862745098
corneal,5,22,27,125.92592592592592
akira,7817,2020,9837,117.86113652536343
luegene,10,5,15,66.66666666666666
ransom,10,4859,4869,199.17847607311563
reo,27,835,862,187.4709976798144
jeremi,44,1675,1719,189.76148923792903
mossie,1051,5,1056,198.1060606060606
noriel,18,369,387,181.3953488372093
lunar,15,6,21,85.71428571428571
zaylyn,122,192,314,44.5859872611465
ifeoluwa,357,175,532,68.42105263157895
wanya,17,484,501,186.42714570858283
jwan,92,141,233,42.06008583690987
ame,379,6,385,193.76623376623377
lorrie,17342,88,17430,197.98049340218014
delbert,126,46930,47056,198.92893573614415
kailor,56,143,199,87.43718592964824
arta,596,42,638,173.66771159874608
amary,151,11,162,172.8395061728395
caitlin,112143,283,112426,198.99311547151015
kimi,1819,299,2118,143.53163361661944
montrell,28,3980,4008,197.20558882235528
mabrey,230,5,235,191.48936170212767
ariat,27,43,70,45.714285714285715
elve,28,16,44,54.54545454545454
bly,10,50,60,133.33333333333331
terral,20,586,606,186.7986798679868
waylin,55,398,453,151.43487858719647
alayna,35589,5,35594,199.94381075462158
arlanda,67,25,92,91.30434782608695
elliston,42,32,74,27.027027027027028
nolynn,92,28,120,106.66666666666667
lamont,165,24024,24189,197.27148703956343
bayley,2221,435,2656,134.4879518072289
joanny,201,5,206,190.29126213592232
amouri,119,55,174,73.5632183908046
shyaire,5,9,14,57.14285714285714
lindy,8896,1776,10672,133.43328335832084
kanyon,113,1362,1475,169.3559322033898
kharsyn,29,26,55,10.909090909090908
saleh,6,1777,1783,198.65395401009533
khyler,129,692,821,137.1498172959805
kyelle,133,10,143,172.02797202797203
ashlin,2560,155,2715,177.16390423572744
shavaughn,174,11,185,176.21621621621622
wilmeth,5,5,10,0.0
rand,141,2960,3101,181.812318606901
harkirat,18,38,56,71.42857142857143
sakhi,32,34,66,6.0606060606060606
mykell,258,810,1068,103.37078651685394
conrad,16,39282,39298,199.83714183927935
emlyn,467,10,477,191.61425576519918
staley,157,256,413,47.94188861985472
abell,5,31,36,144.44444444444443
gracie,84121,45,84166,199.7861369198964
narada,7,201,208,186.53846153846155
abisai,90,1074,1164,169.0721649484536
adria,6506,7,6513,199.57009058805465
casmir,14,342,356,184.26966292134833
thai,212,1214,1426,140.53295932678822
devan,5161,13639,18800,90.19148936170212
yury,190,17,207,167.1497584541063
syree,5,31,36,144.44444444444443
jaydence,178,189,367,5.994550408719346
soryn,57,84,141,38.297872340425535
ikhlas,313,15,328,181.70731707317074
antonie,21,786,807,189.59107806691452
sador,21,5,26,123.07692307692308
marlen,5512,926,6438,142.46660453557004
darasimi,70,5,75,173.33333333333334
vernel,85,249,334,98.20359281437125
racquel,4762,5,4767,199.58044891965596
camila,123854,122,123976,199.60637542750212
macon,209,2105,2314,163.87208297320657
ayris,174,10,184,178.26086956521738
villa,722,27,749,185.5807743658211
daniel,8279,1982812,1991091,198.33679123656327
deylin,107,42,149,87.24832214765101
brezlin,5,6,11,18.181818181818183
misael,16,10395,10411,199.38526558447796
velmar,54,22,76,84.21052631578947
zailynn,324,5,329,193.92097264437692
storme,72,34,106,71.69811320754717
dailin,138,26,164,136.58536585365854
lattie,393,136,529,97.16446124763705
azell,48,200,248,122.58064516129032
cal,10,7858,7868,199.49161159125572
ramzee,5,12,17,82.35294117647058
wylder,247,2513,2760,164.20289855072463
lucia,59335,91,59426,199.38747349644936
dj,13,857,870,194.02298850574712
demetruis,5,814,819,197.55799755799757
annette,169296,499,169795,198.82446479578314
ardean,251,148,399,51.62907268170426
alon,24,1188,1212,192.07920792079207
sevyn,3930,2309,6239,51.96345568200032
pedro,499,94083,94582,197.8896618806961
andi,7266,879,8145,156.83241252302025
leeland,21,3288,3309,197.46146872166818
montrese,22,5,27,125.92592592592592
kierre,94,434,528,128.78787878787878
aviance,469,13,482,189.2116182572614
virl,27,196,223,151.5695067264574
rolla,65,1306,1371,181.03574033552152
kara,101743,282,102025,198.8943886302377
kelly,473965,82400,556365,140.75831513484854
tama,1433,13,1446,196.40387275242045
cedell,5,60,65,169.23076923076923
onis,5,258,263,192.3954372623574
elois,2642,10,2652,198.49170437405732
malen,5,15,20,100.0
cletus,272,7437,7709,185.8866260215333
ekene,16,26,42,47.61904761904761
redding,11,336,347,187.31988472622479
kayden,8111,73606,81717,160.29712299766265
andry,11,382,393,188.80407124681935
halsten,5,44,49,159.18367346938774
jalah,597,5,602,196.67774086378736
trashawn,29,429,458,174.67248908296943
parks,18,1467,1485,195.15151515151516
dominga,4034,10,4044,199.0108803165183
samuelle,11,39,50,112.00000000000001
londen,435,262,697,49.64131994261119
sherrod,5,1970,1975,198.9873417721519
mehan,22,10,32,75.0
verble,80,57,137,33.57664233576642
ines,6751,399,7150,177.67832167832168
cayden,1878,41245,43123,182.5800616840201
blu,323,505,828,43.96135265700483
desean,11,4031,4042,198.91142998515588
javonte,39,3919,3958,196.05861546235474
shiron,88,32,120,93.33333333333333
finnie,5,25,30,133.33333333333331
demeter,5,5,10,0.0
ehrin,33,22,55,40.0
dyami,5,377,382,194.76439790575915
cordae,5,635,640,196.875
jamir,20,9314,9334,199.14291836297406
sherlyn,8954,8,8962,199.64293684445437
rolanda,3386,31,3417,196.3710857477319
linh,1519,213,1732,150.8083140877598
chosynn,18,8,26,76.92307692307693
corine,14547,12,14559,199.6703070265815
denim,1122,2721,3843,83.21623731459798
kolya,6,14,20,80.0
ruari,133,117,250,12.8
xue,29,110,139,116.54676258992806
hadi,6,2535,2541,199.05548996458086
yanai,108,52,160,70.0
savi,217,11,228,180.70175438596493
kinsley,50016,227,50243,198.1927830742591
christie,46013,884,46897,192.4600720728405
savannah,191514,222,191736,199.53686318688196
emely,23864,16,23880,199.73199329983248
jeramie,41,3392,3433,195.22283716865715
sibi,5,5,10,0.0
khalil,182,25021,25203,197.11145498551758
shelvie,294,6,300,192.0
margaret,1264774,3745,1268519,198.81909533873753
taelynn,1808,16,1824,196.49122807017542
araya,4188,10,4198,199.04716531681754
maven,1283,512,1795,85.90529247910862
nicholas,3152,926047,929199,198.6431324183517
vollie,74,378,452,134.5132743362832
kacei,25,6,31,122.58064516129032
pa,1338,5,1343,198.5107967237528
marki,364,34,398,165.82914572864323
chez,27,114,141,123.40425531914893
aaren,282,921,1203,106.23441396508728
blair,23267,15009,38276,43.1497544152994
ting,74,15,89,132.58426966292134
darcell,506,170,676,99.40828402366864
katie,241285,499,241784,199.17446977467492
alwyn,19,724,743,189.771197846568
jerrin,16,499,515,187.5728155339806
sybil,20360,5,20365,199.90179229069483
sully,370,680,1050,59.04761904761905
emmery,1102,44,1146,184.64223385689354
bronxx,5,56,61,167.21311475409837
vallen,69,248,317,112.93375394321768
alvern,21,55,76,89.47368421052632
sary,73,5,78,174.35897435897436
shemaiah,269,12,281,182.91814946619218
denell,419,58,477,151.36268343815513
ray,5606,204701,210307,189.33749233263754
ka,781,136,917,140.6761177753544
lloyd,998,160990,161988,197.5356199224634
dovie,9076,10,9086,199.55976227162668
perri,2448,114,2562,182.20140515222482
emil,134,33096,33230,198.3869996990671
amarin,5,5,10,0.0
myran,5,87,92,178.26086956521738
kestrel,312,27,339,168.141592920354
hosea,20,5481,5501,198.54571896018908
daijon,5,755,760,197.36842105263156
talmadge,36,5635,5671,197.46076529712573
elaijah,170,5,175,188.57142857142856
esra,661,26,687,184.86171761280931
cagney,186,105,291,55.670103092783506
sakani,75,140,215,60.46511627906976
edd,13,5438,5451,199.04604659695468
edwidge,6,5,11,18.181818181818183
alo,5,90,95,178.94736842105263
song,206,76,282,92.19858156028369
kallen,360,2743,3103,153.59329680953914
vanness,5,13,18,88.88888888888889
najai,163,46,209,111.96172248803829
kahler,6,53,59,159.32203389830508
madysen,2703,5,2708,199.26144756277694
ameya,967,203,1170,130.5982905982906
shadon,44,33,77,28.57142857142857
ziaire,79,873,952,166.80672268907563
peytin,217,23,240,161.66666666666666
essie,39682,1212,40894,188.14496014085196
ekam,156,519,675,107.55555555555556
chrome,12,43,55,112.72727272727272
cadance,946,5,951,197.8969505783386
nina,133788,250,134038,199.25394291171162
brenda,608478,2119,610597,198.61185036939258
edgar,705,157214,157919,198.21427440649953
deborah,742820,1658,744478,199.10917448198603
royalty,7225,526,7751,172.85511546897175
nevel,11,16,27,37.03703703703704
saron,776,156,932,133.04721030042919
sunia,12,6,18,66.66666666666666
syd,80,151,231,61.471861471861466
chanda,6078,16,6094,198.94978667541844
hays,5,740,745,197.31543624161074
nira,804,6,810,197.03703703703704
journee,18152,182,18334,196.02923530053454
salam,267,128,395,70.37974683544303
kristain,237,66,303,112.87128712871286
avory,516,363,879,34.8122866894198
penny,100619,384,101003,198.47925309149232
keanu,225,8695,8920,189.9103139013453
drue,1132,1304,2436,14.12151067323481
nadine,53381,43,53424,199.67804731955675
joel,2595,279655,282250,196.32240921169176
noell,634,88,722,151.24653739612188
jaquin,5,197,202,190.0990099009901
glacier,11,10,21,9.523809523809524
thierry,32,855,887,185.56933483652762
acie,72,2071,2143,186.56089594027065
aubry,3020,1611,4631,60.85078816670265
yan,99,986,1085,163.50230414746542
shiva,284,543,827,62.636033857315596
yuma,103,357,460,110.43478260869566
murray,391,21908,22299,192.98623256648278
xai,20,162,182,156.04395604395606
novah,3469,514,3983,148.38061762490585
kiowa,70,234,304,107.89473684210526
mackenzie,141274,7861,149135,178.91574747711806
crue,59,2574,2633,191.03684010634257
yvonne,156119,619,156738,198.42029373859563
asyiah,36,5,41,151.21951219512195
mose,55,7935,7990,197.2465581977472
willmer,6,309,315,192.38095238095238
luca,1690,77521,79211,191.4658317657901
sandeep,115,806,921,150.0542888165038
raelan,122,5,127,184.251968503937
ahkari,5,85,90,177.77777777777777
annis,2914,7,2921,199.04142416980486
sarath,20,46,66,78.78787878787878
nicolette,17129,5,17134,199.88327302439595
jaelen,217,1409,1626,146.61746617466173
yeray,5,443,448,195.53571428571428
corinne,49877,15,49892,199.87974023891607
argie,979,146,1125,148.0888888888889
cobi,265,684,949,88.30347734457324
oswin,103,379,482,114.52282157676348
brittany,360673,1078,361751,198.80801988107842
altha,3365,21,3386,197.51919669226226
norvell,117,1158,1275,163.29411764705884
lois,332950,2644,335594,196.84857297806278
avary,1657,114,1771,174.25183512140035
caylin,2471,87,2558,186.39562157935887
elva,31697,817,32514,189.9489450698161
zarian,28,376,404,172.27722772277227
ameri,314,48,362,146.96132596685084
raya,8003,5,8008,199.75024975024976
zuri,16844,770,17614,182.51390939025777
seton,10,45,55,127.27272727272727
elshaddai,15,13,28,14.285714285714285
rosemary,163165,358,163523,199.1242822110651
gwen,32617,294,32911,196.42672662635593
landis,261,2299,2560,159.21875
fela,45,5,50,160.0
zaiden,44,11550,11594,198.48197343453512
yasani,49,5,54,162.96296296296296
andreas,49,8630,8679,197.74167530821524
carlin,1939,2626,4565,30.09857612267251
ajai,182,276,458,41.04803493449782
miguel,996,190566,191562,197.92025558304883
michale,344,3274,3618,161.96793808734105
puneet,163,160,323,1.8575851393188854
emma,776439,1733,778172,199.10919436834016
sheikh,15,421,436,186.23853211009174
nikai,5,156,161,187.5776397515528
lucky,602,3624,4226,143.01940369143398
pal,15,187,202,170.2970297029703
arrion,79,291,370,114.5945945945946
bruce,1395,386880,388275,198.56287425149702
oakley,15360,11385,26745,29.725182277061137
haiden,1732,4327,6059,85.65769929031192
marti,4321,238,4559,179.11822768150913
gryffin,20,1114,1134,192.94532627865962
dakari,200,4326,4526,182.32434821034025
della,70810,139,70949,199.21633849666662
margie,106004,403,106407,198.48506207298394
monell,18,5,23,113.04347826086956
dashaun,32,2888,2920,195.61643835616437
trystan,660,4509,5169,148.9262913522925
dakodah,44,59,103,29.126213592233007
lennix,455,466,921,2.3887079261672097
tracie,32594,218,32812,197.3424356942582
eavan,176,6,182,186.8131868131868
jaycen,5,1348,1353,198.52180339985216
arleigh,710,517,1227,31.458842705786473
kiana,26694,19,26713,199.71549432860405
nessiah,55,298,353,137.67705382436262
avree,544,11,555,192.07207207207207
kaymari,29,15,44,63.63636363636363
wriley,44,17,61,88.52459016393442
kadri,10,24,34,82.35294117647058
weldon,25,14249,14274,199.2994255289337
keely,12698,21,12719,199.33957072096865
kooper,380,4012,4392,165.39162112932604
larie,351,5,356,194.38202247191012
katina,11306,34,11340,198.80070546737215
prestyn,325,839,1164,88.31615120274914
lemon,359,1071,1430,99.58041958041957
dymon,369,22,391,177.4936061381074
pacey,314,718,1032,78.29457364341084
ginger,46218,42,46260,199.63683527885863
lizette,12122,5,12127,199.83507874989692
miraj,20,178,198,159.5959595959596
nema,345,18,363,180.16528925619835
cay,241,11,252,182.53968253968253
ashten,1151,1390,2541,18.811491538764265
aroosh,47,5,52,161.53846153846155
horace,202,54154,54356,198.5135035690632
terrel,81,2961,3042,189.3491124260355
koy,34,945,979,186.10827374872318
xzavia,65,26,91,85.71428571428571
katrina,101493,238,101731,199.06419872015414
finnlee,127,224,351,55.27065527065527
bryton,210,3021,3231,174.00185701021357
kendal,9123,4677,13800,64.43478260869566
hollin,112,25,137,127.00729927007299
karim,58,6886,6944,196.65898617511522
azie,87,6,93,174.19354838709677
anjolaoluwa,273,21,294,171.42857142857142
janiya,11103,6,11109,199.78395895220092
sneh,5,36,41,151.21951219512195
ale,5,18,23,113.04347826086956
rmani,275,109,384,86.45833333333334
krishna,1906,2385,4291,22.3257981822419
zy,6,78,84,171.42857142857142
cleofas,50,161,211,105.2132701421801
harmeet,11,11,22,0.0
dan,576,106554,107130,197.84934192103051
oneil,17,1757,1774,196.16685456595263
gerard,112,58820,58932,199.2398018054707
asie,36,40,76,10.526315789473683
toye,388,21,409,179.46210268948656
nolyn,177,802,979,127.68130745658837
gustie,106,5,111,181.981981981982
chiante,74,5,79,174.68354430379748
lou,34109,4089,38198,157.18100424105975
ivor,46,863,909,179.75797579757975
shoney,11,5,16,75.0
elya,255,404,659,45.220030349013655
mariela,11660,8,11668,199.72574562907099
hallie,40376,1335,41711,187.19762173047877
algene,59,28,87,71.26436781609196
khori,702,153,855,128.42105263157896
ra,20,231,251,168.12749003984064
ranny,5,275,280,192.85714285714286
magdalena,19773,10,19783,199.79780619724005
maclain,5,419,424,195.2830188679245
glynn,417,4943,5360,168.88059701492537
damond,5,2143,2148,199.06890130353818
sina,1728,520,2248,107.47330960854093
corley,366,255,621,35.748792270531396
talen,44,1982,2026,191.31293188548867
rhyen,162,51,213,104.22535211267605
octavius,15,3687,3702,198.37925445705025
arin,2607,2247,4854,14.833127317676142
shawn,33055,306542,339597,161.06561600956428
donshay,28,64,92,78.26086956521739
braven,31,1053,1084,188.5608856088561
kelen,25,189,214,153.27102803738316
kaiser,34,3921,3955,196.56131479140328
june,205556,3627,209183,193.06444596358213
alexix,36,5,41,151.21951219512195
jun,156,1452,1608,161.19402985074626
justina,12240,6,12246,199.80401763841255
rahat,5,56,61,167.21311475409837
gayla,10838,6,10844,199.77867945407598
haiven,339,28,367,169.48228882833786
nevin,99,6372,6471,193.88038942976357
maxey,5,286,291,193.12714776632302
alaina,50578,6,50584,199.95255416732564
karle,94,56,150,50.66666666666667
destyn,169,448,617,90.43760129659644
son,5,1061,1066,198.12382739212006
mclane,15,136,151,160.26490066225165
kiden,11,5,16,75.0
kaiea,5,65,70,171.42857142857142
myrle,2405,703,3108,109.52380952380953
dynasty,2369,10,2379,198.31862126944094
hope,97225,568,97793,197.6767253279887
antonio,1975,262995,264970,197.01853039966787
mavin,22,131,153,142.48366013071896
zion,7026,46871,53897,147.85609588659852
kyley,1603,76,1679,181.89398451459203
marcel,992,20131,21123,181.21478956587606
aurel,33,203,236,144.0677966101695
macel,821,5,826,197.57869249394673
chandler,10385,36507,46892,111.41346071824618
ryden,43,1849,1892,190.9090909090909
carmello,21,2154,2175,196.13793103448276
faris,20,3225,3245,197.5346687211094
dezi,308,349,657,12.480974124809741
fiyinfoluwa,66,33,99,66.66666666666666
dagan,10,1077,1087,196.32014719411222
auggie,5,247,252,192.06349206349208
kashe,40,84,124,70.96774193548387
chanin,301,11,312,185.8974358974359
garren,17,1863,1880,196.38297872340425
tobey,758,1698,2456,76.54723127035831
vang,11,325,336,186.9047619047619
dax,16,11918,11934,199.46371711077592
rhema,1270,20,1290,193.7984496124031
loye,173,448,621,88.56682769726248
averey,471,206,677,78.28655834564255
texas,235,497,732,71.58469945355192
kimoni,265,370,635,33.07086614173229
lurie,107,16,123,147.96747967479675
jeriah,380,2097,2477,138.63544610415826
bryson,284,83241,83525,198.63992816522
irish,1453,155,1608,161.44278606965173
jadrian,50,581,631,168.30427892234547
vertie,1543,5,1548,198.70801033591732
maximus,17,34662,34679,199.80391591453042
dakoda,904,3356,4260,115.11737089201878
sundance,10,70,80,150.0
maeson,314,714,1028,77.82101167315176
jaxon,404,113651,114055,198.58313971329622
rien,29,96,125,107.2
martina,18498,40,18538,199.1369079728126
declynn,211,22,233,162.23175965665234
brylee,11164,499,11663,182.8860499013976
ivy,82713,3460,86173,183.93928492683324
taven,59,1706,1765,186.62889518413596
se,12,6,18,66.66666666666666
alla,1192,10,1202,196.67221297836937
demetrious,58,1766,1824,187.28070175438597
arless,5,65,70,171.42857142857142
tylei,30,5,35,142.85714285714286
jingyi,31,10,41,102.4390243902439
assil,11,5,16,75.0
ronelle,588,69,657,157.99086757990867
antiona,5,18,23,113.04347826086956
real,26,395,421,175.29691211401425
zeddie,15,63,78,123.07692307692308
kiel,30,2505,2535,195.2662721893491
aleph,5,159,164,187.80487804878047
haru,191,312,503,48.111332007952285
jin,385,1460,1845,116.53116531165311
rashan,66,935,1001,173.62637362637363
keagyn,16,16,32,0.0
myles,325,64512,64837,197.99497200672457
estle,80,676,756,157.67195767195767
payden,701,1343,2044,62.81800391389433
sherwood,11,5671,5682,199.22562478000705
jamee,2734,218,2952,170.46070460704607
abyan,43,129,172,100.0
hala,1813,7,1820,198.46153846153845
deziah,237,5,242,191.73553719008265
hadden,38,501,539,171.7996289424861
emris,19,47,66,84.84848484848484
sibley,117,18,135,146.66666666666666
callum,38,16051,16089,199.05525514326558
arther,47,4993,5040,196.26984126984127
troye,22,75,97,109.27835051546391
mannie,505,1054,1559,70.42976266837717
shaylen,581,32,613,179.11908646003263
kenndy,10,7,17,35.294117647058826
eliel,9,4922,4931,199.26992496451024
amryn,184,6,190,187.3684210526316
kiya,4134,23,4157,197.78686552802503
jamesley,6,81,87,172.41379310344826
nihan,211,67,278,103.59712230215827
donye,86,284,370,107.02702702702702
gaberial,16,445,461,186.117136659436
asonte,6,10,16,50.0
jadiah,31,65,96,70.83333333333334
deshae,185,55,240,108.33333333333333
valeria,80052,105,80157,199.47602829447212
aireon,5,80,85,176.47058823529412
yang,47,291,338,144.3786982248521
carolina,47971,137,48108,198.86089631662094
iden,5,471,476,195.7983193277311
hikaru,18,169,187,161.49732620320856
tamboura,5,12,17,82.35294117647058
nassiah,12,57,69,130.43478260869566
cash,135,27705,27840,198.06034482758622
indi,846,53,899,176.4182424916574
windy,4971,12,4983,199.03672486453942
kamea,1076,10,1086,196.31675874769797
jacy,3416,756,4172,127.51677852348993
britney,35585,83,35668,199.0691936750028
cameren,211,1348,1559,145.8627325208467
korrie,798,30,828,185.5072463768116
jermiyah,168,17,185,163.24324324324323
jenna,148587,255,148842,199.31470955778613
joddie,34,12,46,95.65217391304348
iraj,16,19,35,17.142857142857142
grasyn,21,92,113,125.66371681415929
perrin,479,1568,2047,106.39960918417195
chestine,307,5,312,193.5897435897436
rafi,5,734,739,197.2936400541272
jamye,835,12,847,194.33293978748526
cortland,49,2145,2194,191.0665451230629
doye,20,106,126,136.5079365079365
makay,42,35,77,18.181818181818183
syxx,5,34,39,148.71794871794873
leotha,367,119,486,102.05761316872429
kayron,66,302,368,128.26086956521738
misha,4255,603,4858,150.34993824619184
edel,53,503,556,161.8705035971223
camille,75722,1398,77120,192.74896265560167
eileen,189614,406,190020,199.14535312072414
linwood,5,12776,12781,199.84351772161804
yariel,10,2028,2038,198.03729146221787
konnar,5,144,149,186.5771812080537
axelle,199,5,204,190.19607843137254
kye,347,5557,5904,176.49051490514904
baily,1407,417,1824,108.55263157894737
jazire,7,13,20,60.0
kaycie,2462,5,2467,199.18929874341305
olivier,21,1989,2010,195.82089552238807
kenly,541,103,644,136.0248447204969
azai,26,1574,1600,193.5
zakiyah,2035,7,2042,198.62879529872674
sienna,39877,10,39887,199.8997166996766
lawrene,15,21,36,33.33333333333333
shanice,9586,5,9591,199.79147117088937
mesiah,5,502,507,196.0552268244576
naziah,323,184,507,54.83234714003945
adell,6214,1049,7263,142.2277295883244
nacari,13,53,66,121.21212121212122
in,21,5,26,123.07692307692308
leora,12119,6,12125,199.8020618556701
kazari,20,19,39,5.128205128205128
beckett,1374,29156,30530,181.9980347199476
viola,132993,434,133427,198.69891401290593
lynnx,5,15,20,100.0
wray,23,859,882,189.5691609977324
jasman,259,46,305,139.67213114754097
shenandoah,347,112,459,102.39651416122004
jossie,2034,17,2051,196.68454412481717
zaiah,243,164,407,38.82063882063882
edyn,1236,119,1355,164.8708487084871
roxy,3868,103,3971,189.62477965248047
keiko,1170,14,1184,195.27027027027026
ritchie,50,4120,4170,195.20383693045565
darien,1849,10977,12826,142.3358802432559
ashton,19660,88267,107927,127.13593447422795
lyne,202,5,207,190.33816425120773
lenzie,184,373,557,67.86355475763017
avryn,7,5,12,33.33333333333333
coye,42,425,467,164.02569593147751
cailan,71,174,245,84.08163265306122
garlyn,5,11,16,75.0
micale,6,15,21,85.71428571428571
kailani,12778,45,12823,198.5962723231693
nichol,2900,22,2922,196.9883641341547
